date,Merck Stock Price
2016-03-06,0.0
2016-03-07,13.72
2016-03-08,5.180000000000001
2016-03-09,9.52
2016-03-10,0.0
2016-03-11,14.000000000000002
2016-03-12,7.98
2016-03-13,10.920000000000002
2016-03-14,4.760000000000001
2016-03-15,6.300000000000001
2016-03-16,0.0
2016-03-17,12.740000000000002
2016-03-18,5.32
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,5.880000000000001
2016-03-24,6.720000000000001
2016-03-25,0.0
2016-03-26,11.06
2016-03-27,5.32
2016-03-28,5.6000000000000005
2016-03-29,4.2
2016-03-30,13.160000000000002
2016-03-31,8.120000000000001
2016-04-01,0.0
2016-04-02,3.52
2016-04-03,0.0
2016-04-04,6.24
2016-04-05,3.84
2016-04-06,3.04
2016-04-07,6.72
2016-04-08,0.0
2016-04-09,5.76
2016-04-10,0.0
2016-04-11,8.16
2016-04-12,6.08
2016-04-13,10.24
2016-04-14,10.4
2016-04-15,3.68
2016-04-16,16.0
2016-04-17,3.84
2016-04-18,6.08
2016-04-19,12.16
2016-04-20,7.52
2016-04-21,6.88
2016-04-22,10.24
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,7.84
2016-04-26,4.16
2016-04-27,10.4
2016-04-28,0.0
2016-04-29,4.48
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,2.56
2016-05-03,5.6000000000000005
2016-05-04,2.08
2016-05-05,12.32
2016-05-06,3.36
2016-05-07,16.0
2016-05-08,4.32
2016-05-09,2.4
2016-05-10,4.48
2016-05-11,2.4
2016-05-12,0.0
