date,Verizon Stock Price
2016-01-25,19.22
2016-01-26,20.77
2016-01-27,23.56
2016-01-28,24.18
2016-01-29,25.42
2016-01-30,22.94
2016-01-31,0.0
2016-02-01,24.75
2016-02-02,27.39
2016-02-03,24.42
2016-02-04,29.37
2016-02-05,24.75
2016-02-06,4.62
2016-02-07,13.2
2016-02-08,28.05
2016-02-09,33.0
2016-02-10,11.88
2016-02-11,33.0
2016-02-12,22.11
2016-02-13,22.77
2016-02-14,10.89
2016-02-15,8.58
2016-02-16,20.46
2016-02-17,28.71
2016-02-18,19.8
2016-02-19,25.41
2016-02-20,0.0
2016-02-21,9.24
2016-02-22,26.07
2016-02-23,20.46
2016-02-24,18.81
2016-02-25,3.63
2016-02-26,24.75
2016-02-27,5.61
2016-02-28,0.0
2016-02-29,14.19
2016-03-01,16.32
2016-03-02,17.28
2016-03-03,32.0
2016-03-04,18.24
2016-03-05,9.92
2016-03-06,10.56
2016-03-07,10.56
2016-03-08,12.16
2016-03-09,24.32
2016-03-10,10.24
2016-03-11,5.76
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,17.6
2016-03-15,8.96
2016-03-16,21.44
2016-03-17,16.96
2016-03-18,14.4
2016-03-19,12.48
2016-03-20,14.4
2016-03-21,17.6
2016-03-22,15.36
2016-03-23,15.68
2016-03-24,13.76
2016-03-25,14.08
2016-03-26,4.8
2016-03-27,5.44
2016-03-28,8.96
2016-03-29,18.56
2016-03-30,23.36
2016-03-31,22.72
2016-04-01,21.45
2016-04-02,7.41
2016-04-03,11.31
2016-04-04,28.08
2016-04-05,18.72
2016-04-06,22.23
2016-04-07,22.62
2016-04-08,23.79
2016-04-09,20.28
2016-04-10,7.0200000000000005
2016-04-11,19.89
2016-04-12,10.92
2016-04-13,39.0
2016-04-14,23.79
2016-04-15,34.32
2016-04-16,11.31
2016-04-17,0.0
2016-04-18,21.06
2016-04-19,18.72
2016-04-20,30.42
2016-04-21,28.08
2016-04-22,14.04
2016-04-23,0.0
2016-04-24,4.68
2016-04-25,15.99
2016-04-26,34.32
2016-04-27,32.76
2016-04-28,37.05
2016-04-29,28.08
2016-04-30,5.07
2016-05-01,16.5
2016-05-02,22.44
2016-05-03,33.0
2016-05-04,20.46
2016-05-05,18.15
2016-05-06,15.84
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,16.830000000000002
2016-05-10,15.84
2016-05-11,17.16
2016-05-12,9.57
