date,AXP
2016-04-12,8.58
2016-04-13,6.5
2016-04-14,8.84
2016-04-15,0.0
2016-04-16,0.0
2016-04-17,6.63
2016-04-18,8.97
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,6.37
2016-04-22,0.0
2016-04-23,13.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,5.33
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,8.459999999999999
2016-05-06,0.0
2016-05-07,12.78
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,11.7
2016-05-17,12.06
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,18.0
2016-05-23,12.42
2016-05-24,0.0
2016-05-25,13.5
2016-05-26,0.0
2016-05-27,8.1
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,8.1
2016-06-01,0.0
2016-06-02,5.75
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
