date,Visa
2015-08-08,40.92
2015-08-09,40.92
2015-08-10,58.74
2015-08-11,60.06
2015-08-12,66.0
2015-08-13,50.82
2015-08-14,47.52
2015-08-15,41.580000000000005
2015-08-16,38.28
2015-08-17,48.84
2015-08-18,49.5
2015-08-19,46.86
2015-08-20,44.88
2015-08-21,45.54
2015-08-22,39.6
2015-08-23,39.6
2015-08-24,47.52
2015-08-25,46.2
2015-08-26,44.22
2015-08-27,44.88
2015-08-28,41.580000000000005
2015-08-29,38.940000000000005
2015-08-30,37.620000000000005
2015-08-31,43.56
2015-09-01,50.05
2015-09-02,48.75
2015-09-03,44.2
2015-09-04,44.85
2015-09-05,39.65
2015-09-06,37.05
2015-09-07,41.6
2015-09-08,49.4
2015-09-09,65.0
2015-09-10,59.15
2015-09-11,48.1
2015-09-12,40.95
2015-09-13,38.35
2015-09-14,48.1
2015-09-15,49.4
2015-09-16,48.1
2015-09-17,44.85
2015-09-18,44.85
2015-09-19,37.05
2015-09-20,38.35
2015-09-21,46.8
2015-09-22,49.4
2015-09-23,43.55
2015-09-24,48.75
2015-09-25,48.75
2015-09-26,42.25
2015-09-27,41.6
2015-09-28,52.65
2015-09-29,52.0
2015-09-30,48.1
2015-10-01,62.31
2015-10-02,57.620000000000005
2015-10-03,48.91
2015-10-04,49.580000000000005
2015-10-05,62.31
2015-10-06,66.33
2015-10-07,67.0
2015-10-08,61.64
2015-10-09,67.0
2015-10-10,50.92
2015-10-11,49.580000000000005
2015-10-12,62.98
2015-10-13,62.31
2015-10-14,58.96
2015-10-15,58.290000000000006
2015-10-16,57.620000000000005
2015-10-17,52.260000000000005
2015-10-18,48.24
2015-10-19,61.64
2015-10-20,63.650000000000006
2015-10-21,53.6
2015-10-22,54.940000000000005
2015-10-23,52.93
2015-10-24,46.900000000000006
2015-10-25,48.91
2015-10-26,62.31
2015-10-27,59.63
2015-10-28,60.3
2015-10-29,57.620000000000005
2015-10-30,54.27
2015-10-31,47.57
2015-11-01,50.22
2015-11-02,62.0
2015-11-03,56.42
2015-11-04,55.8
2015-11-05,51.46
2015-11-06,50.84
2015-11-07,44.02
2015-11-08,48.98
2015-11-09,58.28
2015-11-10,56.42
2015-11-11,48.98
2015-11-12,48.36
2015-11-13,48.98
2015-11-14,42.16
2015-11-15,39.68
2015-11-16,50.84
2015-11-17,50.84
2015-11-18,50.84
2015-11-19,49.6
2015-11-20,52.7
2015-11-21,44.64
2015-11-22,43.4
2015-11-23,49.6
2015-11-24,50.22
2015-11-25,48.98
2015-11-26,42.16
2015-11-27,47.74
2015-11-28,44.64
2015-11-29,45.88
2015-11-30,57.66
2015-12-01,63.0
2015-12-02,59.25
2015-12-03,63.75
2015-12-04,60.0
2015-12-05,50.25
2015-12-06,48.75
2015-12-07,64.5
2015-12-08,74.25
2015-12-09,75.0
2015-12-10,62.25
2015-12-11,57.0
2015-12-12,48.75
2015-12-13,48.75
2015-12-14,61.5
2015-12-15,63.75
2015-12-16,60.75
2015-12-17,60.75
2015-12-18,58.5
2015-12-19,53.25
2015-12-20,52.5
2015-12-21,68.25
2015-12-22,69.0
2015-12-23,64.5
2015-12-24,52.5
2015-12-25,55.5
2015-12-26,57.0
2015-12-27,55.5
2015-12-28,66.0
2015-12-29,72.0
2015-12-30,63.75
2015-12-31,54.75
2016-01-01,38.43
2016-01-02,40.95
2016-01-03,44.73
2016-01-04,61.74
2016-01-05,58.59
2016-01-06,63.0
2016-01-07,57.96
2016-01-08,54.81
2016-01-09,44.1
2016-01-10,38.43
2016-01-11,51.66
2016-01-12,56.7
2016-01-13,52.92
2016-01-14,49.14
2016-01-15,49.77
2016-01-16,42.84
2016-01-17,39.69
2016-01-18,49.77
2016-01-19,57.33
2016-01-20,51.03
2016-01-21,52.92
2016-01-22,47.25
2016-01-23,38.43
2016-01-24,37.8
2016-01-25,49.14
2016-01-26,47.88
2016-01-27,47.88
2016-01-28,46.62
2016-01-29,46.62
2016-01-30,41.58
2016-01-31,39.06
2016-02-01,65.0
2016-02-02,53.3
2016-02-03,53.95
2016-02-04,52.65
2016-02-05,48.75
2016-02-06,42.9
2016-02-07,37.7
2016-02-08,49.4
2016-02-09,61.1
2016-02-10,51.35
2016-02-11,52.0
2016-02-12,48.1
2016-02-13,39.65
2016-02-14,38.35
2016-02-15,42.9
2016-02-16,46.8
2016-02-17,52.0
2016-02-18,52.65
2016-02-19,48.75
2016-02-20,41.6
2016-02-21,42.25
2016-02-22,50.7
2016-02-23,53.95
2016-02-24,50.05
2016-02-25,48.1
2016-02-26,50.05
2016-02-27,40.3
2016-02-28,39.65
2016-02-29,51.35
2016-03-01,54.18
2016-03-02,57.96
2016-03-03,55.44
2016-03-04,54.81
2016-03-05,45.36
2016-03-06,42.21
2016-03-07,56.7
2016-03-08,63.0
2016-03-09,56.07
2016-03-10,54.18
2016-03-11,53.55
2016-03-12,44.73
2016-03-13,42.84
2016-03-14,55.44
2016-03-15,54.81
2016-03-16,55.44
2016-03-17,52.92
2016-03-18,48.51
2016-03-19,42.21
2016-03-20,44.1
2016-03-21,52.92
2016-03-22,52.92
2016-03-23,51.03
2016-03-24,49.14
2016-03-25,45.99
2016-03-26,39.06
2016-03-27,39.69
2016-03-28,53.55
2016-03-29,55.44
2016-03-30,56.07
2016-03-31,56.7
2016-04-01,44.85
2016-04-02,39.65
2016-04-03,37.05
2016-04-04,52.0
2016-04-05,53.95
2016-04-06,52.65
2016-04-07,52.0
2016-04-08,45.5
2016-04-09,42.25
2016-04-10,40.3
2016-04-11,65.0
2016-04-12,59.15
2016-04-13,53.95
2016-04-14,46.8
2016-04-15,44.85
2016-04-16,39.0
2016-04-17,37.05
2016-04-18,44.85
2016-04-19,46.15
2016-04-20,53.3
2016-04-21,42.25
2016-04-22,44.2
2016-04-23,35.75
2016-04-24,35.1
2016-04-25,46.8
2016-04-26,45.5
2016-04-27,44.2
2016-04-28,44.2
2016-04-29,42.9
2016-04-30,35.75
2016-05-01,39.04
2016-05-02,64.0
2016-05-03,63.36
2016-05-04,55.68
2016-05-05,57.6
2016-05-06,55.68
