date,HD
2015-10-12,46.8
2015-10-13,43.55
2015-10-14,44.2
2015-10-15,46.15
2015-10-16,47.45
2015-10-17,61.1
2015-10-18,59.15
2015-10-19,45.5
2015-10-20,47.45
2015-10-21,44.2
2015-10-22,46.8
2015-10-23,46.15
2015-10-24,61.75
2015-10-25,62.400000000000006
2015-10-26,48.1
2015-10-27,48.1
2015-10-28,48.1
2015-10-29,52.65
2015-10-30,50.7
2015-10-31,65.0
2015-11-01,61.88
2015-11-02,48.23
2015-11-03,49.14
2015-11-04,47.32
2015-11-05,49.14
2015-11-06,50.05
2015-11-07,60.97
2015-11-08,65.52
2015-11-09,50.96
2015-11-10,53.690000000000005
2015-11-11,55.510000000000005
2015-11-12,56.42
2015-11-13,58.24
2015-11-14,70.98
2015-11-15,66.43
2015-11-16,54.6
2015-11-17,55.510000000000005
2015-11-18,61.88
2015-11-19,64.61
2015-11-20,61.88
2015-11-21,79.17
2015-11-22,82.81
2015-11-23,64.61
2015-11-24,67.34
2015-11-25,70.07000000000001
2015-11-26,84.63000000000001
2015-11-27,85.54
2015-11-28,91.0
2015-11-29,89.18
2015-11-30,67.34
2015-12-01,74.0
2015-12-02,69.0
2015-12-03,69.0
2015-12-04,70.0
2015-12-05,86.0
2015-12-06,91.0
2015-12-07,65.0
2015-12-08,67.0
2015-12-09,70.0
2015-12-10,77.0
2015-12-11,77.0
2015-12-12,87.0
2015-12-13,100.0
2015-12-14,69.0
2015-12-15,76.0
2015-12-16,68.0
2015-12-17,66.0
2015-12-18,69.0
2015-12-19,88.0
2015-12-20,82.0
2015-12-21,75.0
2015-12-22,75.0
2015-12-23,78.0
2015-12-24,91.0
2015-12-25,99.0
2015-12-26,87.0
2015-12-27,83.0
2015-12-28,80.0
2015-12-29,79.0
2015-12-30,78.0
2015-12-31,79.0
2016-01-01,59.17
2016-01-02,59.78
2016-01-03,58.56
2016-01-04,49.41
2016-01-05,50.02
2016-01-06,49.41
2016-01-07,46.97
2016-01-08,50.63
2016-01-09,58.56
2016-01-10,56.12
2016-01-11,46.97
2016-01-12,47.58
2016-01-13,46.97
2016-01-14,46.36
2016-01-15,49.41
2016-01-16,61.0
2016-01-17,56.73
2016-01-18,52.46
2016-01-19,49.41
2016-01-20,48.19
2016-01-21,49.41
2016-01-22,48.19
2016-01-23,54.9
2016-01-24,53.68
2016-01-25,46.97
2016-01-26,51.24
2016-01-27,46.36
2016-01-28,46.36
2016-01-29,50.63
2016-01-30,53.68
2016-01-31,56.73
2016-02-01,38.16
2016-02-02,40.81
2016-02-03,39.22
2016-02-04,43.46
2016-02-05,39.22
2016-02-06,53.0
2016-02-07,48.23
2016-02-08,39.75
2016-02-09,39.22
2016-02-10,39.75
2016-02-11,42.93
2016-02-12,42.400000000000006
2016-02-13,47.7
2016-02-14,49.29
2016-02-15,46.11
2016-02-16,40.81
2016-02-17,41.34
2016-02-18,42.93
